类别,子类别,问题,答案
配送方式,配送服务查询,物流更新错误，无法确认快递具体情况，如何处理？,第三方卖家商品订单物流信息若更新错误，请直接与商家客服取得联系。2017-03-03
特色服务,京品加油,京品加油可以开发票吗？,本服务由线下油站为客户提供国税通用机打明细内容（油号+金额）发票，京东作为平台方不提供发票。1) 如需发票，请在支付完成后跟油站收银员直接索取发票，京东不提供发票；2) 如果之后仍需补开发票，需客户返回油站，凭订单详情页信息，告知油站收银员补开。2018-06-27
特色服务,京东公益平台,参与爱心物资捐赠的流程是什么？,（1）查看公益项目：用户进入京东公益平台首页浏览公益项目，公益项目分为以数量为募集目标的项目、以募集截止时间为目标的项目、无时间或数量目标长期项目；选择想要参与的公益项目进入项目详情页查看项目详情。（2）选择爱心物资：用户在公益项目详情页点击“我要捐赠”（或“再次捐赠”）可选择爱心物资。（3）提交订单：用户选好爱心物资后进入结算页，可选择、填写或查看公益订单的收货地址、发票信息、支付方式与配送方式等信息，核对无误后点击“去支付”，完成下单支付（4）查看订单状态：用户可在“我的公益”中查看订单状态（5）爱心留言：用户支付完成订单后可发布爱心留言，每个项目一个账户最多5次留言、一天最多1次留言。2016-12-30
支付问题,京东白条,使用京东白条付款后，如何开增值税发票？,白条支付的订单，增票开具时间、开具方法和普通订单一致，无需在等白条完全还款完毕之后在开具。增值税发票开具流程可点击此处查询。
支付问题,分期付款,我可以信用卡分期付款吗？,您好，信用卡分期支付目前还处于邀请制阶段，仅支持招行信用卡分期，建行、中行、广发等在逐步开放中，如您在收银台无法看到该支付方式，可选择其他支付方式或按照如下路径进入信用卡分期商城购物。信用卡分期商城路径：金融APP-信用-全部-信用卡分期。2019-05-16
特色服务,节能补贴,什么是节能补贴？,北京市政府提出针对部分在京人员（包括京籍人员、居住证、暂住证、驻京军人）实行三年内首次购买享受家电节能补贴，即针对特定品类的商品，在自营电商平台及线下实体店铺，购买享受减免相应百分比金额。2016-08-09
订单百事通,修改订单,下单之后如何修改支付方式？,您好，订单提交之后暂不支持修改支付方式。2015-03-04
特色服务,价格保护,京东超市买贵就赔服务说明,京东超市让您安心，买贵就赔：为更好提升消费购物体验，如购买京东超市商品出现降价情况，在价保规则范围内可实现“买贵就赔”。价保规则已基本全面覆盖京东超市，消费者可根据购买商品的不同品类的价保规则申请价保。 返还方式为您省心，简单便捷：消费者可通过自助、客服两种方式申请。附：价保申请流程自营商品第三方商品京东超市商品标签所在位置示意图：PC端：APP端：2020-2-25
售后服务,售后服务单查询与修改,售后返修单已提交成功，为什么没有给我安排上门取件？,售后申请审核成功后，如安排上门取件，将会短信告知您预估时间，一般为三个工作日，还请您耐心等待。
售后服务,售后保障服务,为什么投保并退换货后却没有理赔？,客户在投保后没有被理赔，可能有以下几个原因：1、仅发生了退款，而没有退换货（即未提交退换货服务单）；特殊商品进行直接赔款，未发生退换货（即未提交退换货服务单）。
售后服务,退换货-返修申请,订单页面为何无法申请售后？,订单无法申请售后服务可能有以下几种情况：
特色服务,售后到家,售后到家注意事项？,注意事项：1.售后到家服务仅针对部分特定商品，具体以您查询结果为准。2.此服务仅支持京东自营配送范围。3.如遇如自然灾害、交通管制等不可控因素及法定节假日，售后到家服务时效顺延。4.售后到家服务不提供数据备份，盗版系统及软件安装，个人信息保管等服务内容，请您自行备份个人信息资料等，以免造成资料丢失，京东对资料丢失不承担任何法律责任。5.售后到家服务只提供原厂约定的保修内容，不包含为用户提供越狱、root等服务。6.对于售后到家服务范围内的商品，不代表该商品同时符合保内条件。7.对于保修期外的商品，维修时效与客户支付维修费用的时效相关，维修时效将做相应的顺延。2015-03-03
账户及会员,账户资产,什么是京东红包？,红包分全渠道红包（通用红包）和渠道专享红包（专享红包），其中全渠道红包（通用红包）在电脑端京东、京东APP客户端v7.2.0及以上版本、M端京东、微信京东购物或手Q京东购物等京东购物渠道可用，渠道专享红包（专享红包）仅在指定的专享渠道可用。红包可以直接用于抵扣订单中的商品金额（金银投资、钱币品类等特殊品类商品、充值等不支持使用红包抵扣的业务场景的商品除外）。您可以在电脑端京东“我的京东->我的钱包->红包”中查询，或者在京东APP客户端v7.2.0及以上版本、M端京东、微信京东购物或手Q京东购物“我的->我的钱包->红包”中查询京东账户内全渠道红包（通用红包）的详细情况。渠道专享红包（专享红包）的详细情况可以在对应的专享渠道的“我的红包”中进行查询。2021年10月27日
配送方式,发货与签收,不方便收货，怎么办？,您好，若您暂不方便收货，配送员在配送时电话联系您的时候，你可与配送员协商您的需求，配送员会尽量为您安排。若您选择的自提，自提点/自提柜会为您保留3个自然日，或您可以登录电脑端，进入订单详情页，选择相应订单，尝试申请延期收货，订单是否可以延期收货请以具体申请页面为准。2017-02-24
购物指南,商品咨询,评价和晒单可以删除吗？,商品评价或晒单在发布之后，用户是无法修改、删除晒单或评价的。2016-12-28
购物指南,交易条款,GO免单用户服务协议,GO免单用户服务协议
售后服务,售后政策（自营）,收货后发现少商品，怎么办？,您好，同个订单购买多个商品可能会分为一个以上包裹发出，可能不会同时送达，建议您耐心等待1-2天，如未收到，京东自营商品可直接联系京东客服，第三方卖家商品请联系卖家客服为您处理。2017-03-16
售后服务,退换货-返修申请,是否能更换同等价格的不同商品？,换货只能换同一种商品，无法更换其他商品或其他型号若您需更换商品颜色：若服饰鞋帽类符合换货条件，您可在商品页面有颜色和尺码选择且价格一致的可申请更换商品颜色（随机发货商品除外）和尺码，最终结果以售后审核意见为准；其他类商品暂不支持更换颜色。2017-04-17
售后服务,售后政策（自营）,电脑类商品售后服务细则（自营）,适用范围：笔记本、超极本、上网本、平板电脑、台式机、笔记本配件、平板电脑配件等退换货时限：自实际收到商品第二日起7日内可退货，15日内可换货。退换货原因：（1）商品质量问题。（2）7日内在商品（含附件）完好前提下申请无理由退货。注：注意事项中约定不适合退换的商品除外，特殊规则以商品详情页介绍为准。售后流程：注：属于质量问题的，商品将返回京东检测，若是性能故障且无非正常使用情况同时为京东所售商品，我们将为您办理退换修。
购物指南,交易条款,京东交易条款,京东交易条款：客户在接受商品订购与送货的同时，有义务遵守以下交易条款。您在京东下订单之前或接受京东送货之前，请您仔细阅读以下条款：1. 订购的商品价格以您下订单时京东网上价格为准。2. 请清楚准确地填写您的真实姓名、送货地址及联系方式。因如下情况造成订单延迟或无法配送等，京东将不承担责任： A. 客户提供错误信息和不详细的地址； B. 货物送达无人签收，由此造成的重复配送所产生的费用及相关的后果； C. 不可抗力，例如：自然灾害、交通戒严、突发战争等。 3. 安全性：无论您是电话订购商品或是网络订购商品，我们会保证交易信息的安全，并由京东授权的员工处理您的订单。 4. 隐私权：京东尊重您的隐私权，在任何情况下，我们都不会将您的个人和订单信息出售或泄露给任何第三方（国家司法机关调取除外）。我们从网站上或电话中得到的所有客户信息仅用来处理您的相关订单。 5. 免责：如因不可抗力或其它京东无法控制的原因使京东销售系统崩溃或无法正常使用导致网上交易无法完成或丢失有关的信息、记录等，京东会尽可能合理地协助处理善后事宜，并努力使客户免受经济损失。 6. 客户监督：京东希望通过不懈努力，为客户提供最佳服务，京东在给客户提供服务的全过程中接受客户的监督。 7. 争议处理：如果客户与京东之间发生任何争议，可依据当时双方所认定的协议及相关法律进行解决。特殊说明：1. 京东所服务的客户为以终端消费为目的的个人、企业、事业单位及其他社会团体，不包括经销商，如发现经销商购物，京东将拒绝为其服务。由此产生的一切后果由经销商自行承担。2.如果一个ID帐号在一个月内有过1次以上或一年内有过3次以上（不含本数），因非因京东原因导致拒收京东配送的商品，京东将从相应的ID帐户里按每单扣除500个京豆做为运费补偿。即一个用户一个月内，如果拒收次数超过一次，第一次拒收的订单不扣除京豆，第二次及以上拒收的订单，每单扣除500京豆；一个用户一年内，如果拒收次数超过三次，前三次拒收的订单不扣除京豆，（其中若存在一个月内有过1次以上的情况，按照以上规定操作）第四次及以上拒收的订单，每单扣除500京豆时间计算方法为：成功提交订单后向前推算30天为一个月，成功提交订单后向前推算365天为一年，不以自然月和自然年计算。京东承诺：1. 我们秉承质优价低、放心满意的销售理念为您服务。我们所出售的商品均为正品行货，与您亲临商场选购的商品一样享受相同的质量保证；含有质量保证书的商品按照保证书的承诺执行，其它商品按国家有关规定执行。 2. 我们承诺在运输“保价费”上永久免费，在配送环节上承担保险费用，运输过程的风险一律由京东承担，客户收到货物如果有损坏、遗失等情形，只要当场提出声明，并进行相关举证，京东将按照正常售后退换货程序予以先行处理。 3. 我们承诺通过我司提供的网上支付平台支付，为客户承担全额手续费，但由于客户原因取消正常状态下的订单要求款项返还时（做京东帐户余额除外），则由客户承担相关手续费；货物打包不收取任何包装费。特别提示：1. 如您购买的商品在规定时间内出现国家法律所规定的性能故障或商品质量问题，需要返修/退换货时，请您在我的京东提交返修/退换货申请，申请单审核通过后，按照提示信息将物品以普通快递（请别使用到付）的方式寄回京东或卖家售后，相关的邮寄运费将以京东余额的形式返还到您的京东账户中。如未提交返修/退换货申请或未通过审核而将商品寄回，则京东或卖家有权拒绝您的相关申请。具体详情可参见售后政策中的售后服务流程>> 2. 我们保证出货时商品外包装的完好无缺。请您在收到货物时当场仔细检查发票及货品与送货单的商品是否一致，如果发现商品缺少或已破损等情况，请当场即配送人员还在现场时与我司客服部联系；如果发现邮寄包装破损，货物在运输途中破损等情况，请当场指出并拒收，拒收后请致电我司客服，如您已签收或他人代为签收，则视为商品外包装，商品数量及内容无误，我司将无法受理。电子类商品如手机、相机、笔记本等有原厂包装、标签的3C产品，可以打开原厂包装，但不能安装电池开机启动，不能通电、过水、插入卡槽。请您在确认外观无损的情况下确认收货，如确认收货后，发现外观问题将无法办理。2018-06-13
特色服务,京东E卡,为什么输入京东E卡密码一直提示密码错误或者该京东E卡不存在？,此种情况很有可能是密码输入错误，输入密码时请注意：密码中没有字母O、R，同时注意C、D与数字0的区别，注意区分8与B。 2019-07-19
订单百事通,第三方交易纠纷,下单成功后需要修改地址，如何操作？,您好，下单成功后，您可以在的京东-我的订单-点击订单编号进入订单详情页查看是否支持修改，若该订单有“修改订单”按钮，您可以按指示修改订单信息。2020-04-20
特色服务,特色服务,第三方商家生鲜商品“足斤足两”服务说明,一、 服务介绍您在京东平台购买带有“足斤足两”服务标识的第三方商家生鲜商品后，如您发现收到的商品重量与商品详情页商品标题名称中描述的重量不符，可在商品签收后的48小时内以“商品缺斤少两”的原因发起售后申请（榴莲、大闸蟹、活鲜商品为24小时内），同时需提供有效凭证，商家审核通过后将为您按照缺重比例金额办理补贴或全额退款。备注：活鲜指活的水产品被打捞后，放入类似其自然生存环境的人工环境中使其生命得以保存，直到发货前一刻还保持鲜活的状态。 二、服务流程1、 申请服务：若您在签收时发现商品重量与描述不符，请在称重并拍照留存证明后，立即联系商家进行处理（如何联系商家？）；如未进行开箱验货需在商品签收后的48小时内，在线发起售后申请（如何申请退货/换货？），申请原因选择“商品缺斤少两”，并提交有效凭证，有效凭证包括但不限于将商品与快递面单放在一起的称重照片等。2、 商家审核：商家预计将会在48小时内进行审核，审核通过后将为您处理退款。3、退款处理：如果商品实际重量与商品详情页商品标题名称中标注的重量不符，缺斤少两的比例在10%及以下，商家将会为您按照商品实付金额的30%退款，商品无需寄回；如果缺斤少两比例在10%以上，商家将为您全额退款，商品无需寄回。注意事项：（1）关于商品缺斤少两比例的计算，如果页面商品标题名称中标注的为单果重，则以单果的重量进行计算；如果页面商品标题名称中标注的为总重量，则以商品总重量进行计算；如果页面商品标题名称中标注的为带箱重，则以带箱重的重量进行计算，未标注带箱重则按照总重计算。举例说明：如果您购买了第三方商家销售的苹果商品，页面已打标“足斤足两”标识，页面商品标题名称中标注商品总重量为5KG，但您收到的实际商品总重量为3KG，商品缺斤少两的比例在40%，则您申请售后后，商家可为您办理全额退款，商品无需寄回。（2）商品标题名称中若标注的是重量区间，如消费者收到商品重量是在重量区间范围内，则不符合足斤足两退款标准；如不在商品重量区间范围内，则以重量区间范围的中间值作为基数计算缺斤少两比例。举例说明：如果您购买了第三方商家销售的波士顿龙虾商品，页面已打标“足斤足两”标识，页面商品标题名称中标注商品总重量为450g-550g，如您实际收到的商品总重量为400g，则计算缺斤少两的商品重量基数为500g，商品缺斤少两的比例在20%，您申请售后后，商家可为您办理全额退款，商品无需寄回。（3）商品缺重标准：剔除水分耗损后的商品重量，缺重10%及以内按照缺重比例补偿，缺重高于10%商家需进行全额退款；水分耗损以商详页展示为准，不得超于5%；特殊品类榴莲/车厘子/大闸蟹/小龙虾/海鲜礼盒/活鲜等除外。注：水分耗损指在存储和运输过程中由于水分的减少而发生的重量变化。举例说明：如您购买的第三方商家销售的深海鱼商品，页面已打标“足斤足两”标识，页面商品标题名称中标注商品重量为500g，当商品缺重比例≤5%，即实际收到商品重量为≥475g时，属正常水耗不进行赔付；当商品缺重比例在5%＜缺少重量≤15%，即实际收到商品重量为425g≤商品重量＜475g时，按照缺重比例进行赔付；当商品缺重比例＞15%，即实际收到商品重量＜425g时，您申请售后，商家可为您办理全额退款，商品无需寄回。三、温馨提示：1、请您在签收时仔细验货，如无法现场验货，需在签收后48小时内进行验货并反馈。榴莲、大闸蟹及活鲜商品的服务时效为商品签收后24小时内，如您超时效反馈，将无法享受此服务。2、如遇大型活动或法定节假日，第三方商家审核和退款的时效可能延长。3、若您购买的第三方商家销售的生鲜商品已经申请退货，将不提供足斤足两服务。4、您在申请售后服务时，需确保上传的凭证为原图、内容真实有效、未经涂改和增删，如果相关凭证有人为修改的痕迹将视为无效凭证，将无法提供“足斤足两”服务。5、如有利用此服务牟利的行为，将取消享受此服务的权益。6、如遇不可抗力、情势变更、网路故障、客观因素等影响，将可能视情况暂停此项服务。包括但不限于遇交通管制、特殊天气（如雨、雪、台风、地震等）等影响，停电、系统异常等影响，或受该区域治安、交通等状况影响，受政府行为或社会异常事件等情况影响，将暂停此项服务，不予补偿或退款。 2021年11月25日
特色服务,大家电,我买的家电产品，货到以后可以开箱验货吗？,冰箱、洗衣机、彩电类商品，您在收货签收前可以打开包装检验货物的完好情况。签收前，请仔细检查商品是否完好，附件是否齐全；签收时，请注明：【已开箱，外观完好】或【未开箱，外包完好】，以便更好给您提供后期售后服务。签收后，如您所购商品缺少包装附件，可拨打厂家全国服务热线由厂家为您补寄或打京东客服热线由京东联系厂家为您补寄。2016-01-26
特色服务,拍卖业务,未实地查看拍品的风险,实地查看拍品是竞买人的法定权利。如果竞买人在拍品展示的时间内未查看拍品，视为其自愿放弃这一权利，愿意以拍品的现状参与竞拍。因竞买人未实地查看拍品而产生的法律风险由竞买人自行承担，竞买人不得再以拍品存在实物瑕疵为由提出异议。2016-02-15
特色服务,节能补贴,节能补贴活动规则及购买流程,一、补贴时间：2019年2月1日—2022年1月31日。二、补贴家电品类：（一）电视机、电冰箱、洗衣机、空调、热水器、吸油烟机、燃气灶、微波炉、电饭锅、家用电磁灶、家用电风扇等11类能效标识为中国能效标识一级或二级的家电产品。（二）高效级空气净化器产品：符合国家电器安全标准（GB 4706.1-2005《家用和类似用途电器的安全通则》、GB 4706.45-2008《家用和类似用途电器的安全 空气净化器的特殊要求》）和产品性能标准（GB/T 18801-2015《空气净化器》，符合标准要求之外，颗粒物和甲醛净化能效达到高效级）。三、补贴资格：（一）北京市户籍人员；（二）驻京部队现役军人和现役武警；（三）持有有效《北京市工作居住证》的非本市户籍人员；（四）持有北京市有效暂住证的非本市户籍人员；（五）持有居住登记卡的人员。（六）持有北京居住证的非本市户籍人员。四、需要证件：北京市户口的居民直接用北京市身份证即可享受补贴，其他符合条件的客户除了提供本人身份证外，还需提供相应要求的证件，比如居住证等，具体以页面显示为准。五、如何购买选择符合条件的商品通过“参加节能补贴”入口下单结算。收货地址必须是北京市辖区，符合条件的用户每一品类商品只享受一台补贴，再次购买同品类商品不享受补贴，节能补贴订单不支持211限时达且需收货人本人持身份证签收；节能补贴订单可使用东券和京券，但白条券、余额、京豆、京东E卡、手机红包等暂不支持使用。六、其他注意事项1.节能补贴商品审核时效：证件审核将在24小时以内人工审核，因此节能补贴订单不支持“211限时达”2.关于节能补贴商品配送：因购买节能补贴商品需要人工审核上传的证件资格，所以节能补贴商品配送不支持“211限时达”，请耐心等待，感谢您的理解和支持。3.可以购买节能补贴的途径：目前节能补贴只支持pc端和app端购买，请选择有节能补贴下单入口的商品购买。七、各补贴品类详细标准： 补贴品类能效等级补贴上限（元）1级2级高效级电视机13%8%//800电冰箱13%8%//800洗衣机13%8%//800空调13%8%//800热水器13%8%//800微波炉13%8%//800吸油烟机13%8%//800家用燃气灶13%8%//800家用电磁灶13%8%//800电饭锅13%8%//800家用电风扇13%8%//800空气净化器////10%800 备注：补贴比例计算基准为补贴前商品的下单售卖价格，商品补贴金额保留到元，小数点四舍五入。目前可以使用东券、京券优惠券（白条券、余额、京豆、京东卡/京东E卡、手机红包等其他未提到的虚拟资产暂时不可在节能订单中使用）。2019-2-19
特色服务,全球售业务,全球售业务支付问题,Q1：京东全球售购物支付方式？京东全球售支持使用JCB、万事达、VISA等多种国际信用卡支付，同时也支持微信、香港八达通、中国银联等支付方式支付，带给用户便捷的购物体验。
配送方式,配送服务查询,快递单号不正确，怎么办？,快递单号查询不到配送信息一般是由于商家上传错误了快递单号或快递暂时未录入信息导致，若您长时间查询不到您相关订单的物流信息，请您直接联系商家客服或京东客服帮您处理。2017-03-03
特色服务,拍卖业务,拍卖业务常见问题,"1. 竞拍中代理出价价格设置错误，可以停止出价吗？不能。竞拍商品，一旦您参与竞拍，设置了出价金额，确认提交后将无法更改。如果您设置了代理出价，系统会一直代您出价，直到您的出价被人超过出局，或者您已成功竞拍到拍品为止。所以在出价或设置代理出价之前，请务必充分了解拍品的详细情况，以及确认您出价的金额是否正确。 2. 提供拍品的送拍机构已经同意卖给竞拍人，竞拍可以提前结束吗？不能。拍品开拍时间和结束时间，在拍品详情页里有统一的规定。设置了延时的拍品,当拍品的竞拍时间只剩最后两分钟时，如果有用户出价竞拍，那么系统将会自动延长拍品的竞拍时间。 3. 哪些拍品需要交佣金，佣金是多少？目前拍卖平台上，拍卖行和资产处置机构发布的拍品，可能会涉及到佣金，具体佣金比例，以拍品详情页里的描述为准。 4. 拍品加价幅度设置的太低了，我能任意幅度加价吗？可以。但是加价幅度要不得低于商家设置的最低加价幅度，亦不得高于商家设置的最高加价幅度。 5. 竞拍结束时，竞拍人的出价最高，处于领先，为什么还显示流拍？由于您出价的这个拍品有设置保留价，在竞拍结束时，如最高出价记录没有达到该拍品设置的保留价，即会显示流拍。 6. 拍品在哪里可以查看？正在进行的拍品，您可以在“拍卖首页-我的竞拍-我的竞拍”中查询，已拍得的拍品可以在“拍卖首页-我的拍卖-我的获拍”中查询。 7. 什么时候可以开始交保证金？竞拍快结束时还能交吗？可以。拍品在预展的时候开始，一直到竞拍结束前，都可以交纳保证金。 8. 竞拍人交纳的保证金什么时候退还？（1）竞拍人未成功竞拍商品：例如在竞拍过程中始终未出价、在竞拍过程中放弃加价等情况；（2）竞拍人竞拍成功后，卖家主动关闭交易或未履约发货或因卖家其他原因导致交易未完成的。竞拍结束后，在1-15个工作日内将款项原路返还，如您交纳的竞拍保证金符合退还条件，但是未予退还，您可以联系京东客服，我们会尽快帮您处理 9. 竞拍成功后如何交易？竞拍成功后，可以进入“拍卖首页-我的竞拍-我的获拍”页面里找到等待付款的拍品，升价拍的拍品需要在竞拍结束后72小时内及时付款；降价拍的拍品需要在24小时内及时付款。若逾期未付款，导致系统自动关闭交易的话，竞拍保证金将赔付给送拍机构。竞拍成功后，如果保证金金额小于最终成交价，竞拍人交纳的保证金将自动转化为部分成交款，用户需在规定时间内交纳剩余尾款；如果保证金金额大于或者等于最终成交价，用户需要全额支付货款，保证金将在订单完成后返还给用户。 10. 已经竞拍成功，但是不想要这个拍品了怎么办？按照《京东商城拍卖业务管理规范》，若买家竞拍不买，则拍卖流程中最终锁定的竞拍保证金将赔付给该拍品的送拍机构。 11. 收到拍品后，能申请退货退款吗？根据京东商城相关竞拍规则及京东平台规则，是否支持7天无理由退货具体请查看拍品详情页面。"
订单百事通,修改订单,下单之后如何修改商品的数量和颜色？,订单一旦提交成功，将无法修改商品数量和颜色。如需修改，建议您重新下单。2016-10-18
订单百事通,取消订单,预售订单支付定金之后未支付尾款，能否取消订单？,您好，订单不可以取消，预售活动结束后，若未支付尾款，订单自动取消，取消后定金不退。2017-04-13
售后服务,售后政策（自营）,手机、数码类商品售后服务细则（自营）,适用范围：手机、数码、IT等退换货时限：自实际收到商品第二日起7日内可退货，15日内可换货。退换货原因：1.商品质量问题。2.7日内在商品（含附件）完好前提下申请无理由退货。注：注意事项中约定不适合退换的商品除外，特殊规则以商品详情页介绍为准。售后流程：注：返修退换货时，属于质量问题的，请将生产厂家售后服务中心开具的检测报告（维修检验单据）、附件、说明书、发票、保修卡、购物凭证、包装、商品，一并返回京东办理返修退换货手续（电子发票无需返回）。
发票问题,发票开具规则,电子书是否可以开具发票？,您好，电子书是虚拟商品，可以开具以个人或公司为抬头的、信息服务费为内容的服务发票。若您需要开具发票，请直接联系京东客服处理。2017-05-22
特色服务,知识产权维权,申诉周期怎么计算？,被投诉人可以自收到投诉通知之日起1-3个工作日内提交申诉材料，一般来说，在整个申诉周期内，被投诉人拥有最多不超过3次申诉机会，投诉被正式受理后的每个申诉期间为7个工作日；此外，经维权系统综合判断确认存在较高侵权风险的商品将可能直接被强制下架。2019-05-13
购物指南,生活旅行,酒店预订常见问题,1.网上预订有保障吗？相当有保障。网上预订不收取您任何费用。只要预订之后接收到预订成功短信，酒店就会给您保留房间。免去直接到酒店无房的尴尬与烦恼。2.填写预订单时注意事项？   （1）在预订时每个房间至少提供一个入住客人的姓名，以方便酒店找到您的预订从而方便您办理入住。
售后服务,退换货-返修申请,退货时需要上传的照片发到哪里？,1.进入“我的京东”-“客户服务”下面的“返修退换货”，选择“查看返修/退换货记录”；2.点击对应服务单右侧“查看”按钮，在新打开的页面，点击右下角的“上传图片”按钮，上传后请耐心等待，由专业的售后工作人员受理您的申请。2017-04-17
账户及会员,PLUS会员,如何关闭或开启PLUS会员自动续费功能？,目前只支持在京东APP客户端关闭或开启PLUS会员自动续费功能，关闭或开启方式如下：点击“我的”-“PLUS会员”-“我的PLUS”，滑动选择是否开启【自动付费】功能。2017-04-19
订单百事通,晒单评价,怎样查看我的评价晒单是否成功？,1.商品评价或晒单后可在【我的京东】-【订单中心】-【评价晒单】，可以查看到已评价和已晒单的信息；（如下图）2.京东APP客户端点击【我的】-【待评价】即可查询未评价商品。（如下图）2016-10-21
支付问题,在线支付,网银支付支持的银行？,您可以在收银台上，点击“添加新卡/网银支付”的按键，在银行卡号输入框的右侧会显示支持的银行，点击后即可查看快捷和网银分别支持的银行
特色服务,定期购,定期购支持优惠券、京豆、余额或京东卡-京东E卡支付吗？,定期购不支持使用京豆、京东卡/京东E卡、余额等虚拟资产，部分商品支持使用优惠券，具体以提交订单页面显示的为准。
特色服务,全球售业务,京东全球售寄往台湾地区的个人快递须实名认证通知,根据台湾相关部门公告规定，自2020年4月16日起，所有寄送台湾的个人快递将实施实名认证，如收件人为个人且持台湾当地个人户籍，须下载「EZ WAY 易利委」实名认证 APP（Android下载／iOS下载），并按指示完成实名认证注册。未经实名认证者，关务署将不受理报关，并至补充实名认证信息补充完整为止，开始受理报关。 为确保您的订单包裹正常通关，请在2020年4月16日前先进行实名认证注册及线上报关委托，详情请参阅关务署官网或点击此处。注：文章链接请在台湾地区网络环境中打开。2020-4-9
特色服务,大家电,选购指数,选购指数是京东（家电）与中国家用电器研究院、中国电子科技集团公司第三研究所子公司北京泰瑞特检测技术服务有限责任公司合作对部分商品进行的指数评定，其参考标准包括但不限于商品的性能、能效、外观、操作等因素计算得出。选购指数越高，代表选购建议度越高（注：选购指数仅作为消费者购买家电商品的参考，而非京东进行的任何承诺或服务保证，亦不对消费者购买家电商品做出任何强制性要求，消费者仍请自行决定是否购买相应家电商品 ） 。其中冰箱、洗衣机、空调三类商品为京东（家电）与中国家用电器研究院合作共同评定选购指数；平板电视为京东（家电）与北京泰瑞特检测技术服务有限责任公司合作共同评定选购指数。为方便您快速了解各分类选购指数参考因素，我们将评定标准展示在下方表格，供您参考： 洗衣机：电视：2016-11-28
售后服务,售后退款说明,我的退款会给我退到哪里？,1、在线支付/POS刷卡/扫码付支付订单退款，如涉及到银行信息京东会依据银行及相关机构已经建立的条例处理退款，为了保证客户账户金额的安全，我们均会安排原卡原退。
特色服务,生鲜,自营生鲜商品“保鲜活”服务说明,您在京东平台购买商品详情页带有“保鲜活”标识的自营生鲜商品，如果您在与配送员开箱验货的过程中，发现活鲜商品存在个别死亡的情况，京东将为您提供相应的补贴或退款方案。1、适用品类此服务适用于京东自营的生鲜商品，具体支持的品类和商品以商品详情页展示的标识为准。2、服务流程 3、服务说明1)、当您购买带有“保鲜活”标识的自营生鲜商品，在签收商品时，建议您与配送员当面开箱验货，确认商品的鲜活程度后再进行签收；2)、在开箱验货过程中，如果您发现个别活鲜商品存在死亡的情况（问题商品比例不超过30%），配送员确认后，针对问题商品配送员将按照活鲜商品死亡比例为您申请相应金额的补贴，补贴以余额的形式补贴到您账户，然后您对整个订单操作签收；3)、在开箱验货过程中，如果您发现较多活鲜商品存在死亡的情况（问题商品比例超过30%），配送员确认后，您可以要求配送员操作订单拒收，商品由配送员带回，审核通过后将会为您全额退款；4)、如果您未能与配送员当面开箱验货，且在订单签收后发现活鲜商品存在死亡的情况，需要您在签收后6小时内在线申请售后或联系京东客服，并上传相关凭证和问题商品照片，京东客服审核后，将按活鲜商品死亡比例为您申请相应金额的生鲜品类优惠券做为补贴。4、注意事项1)、您在申请售后服务时，需确保您上传的凭证为原图、内容真实有效、未经涂改和增删，如果相关凭证有人为修改的痕迹将视为无效凭证，将无法提供保鲜活服务；2)、如您有利用此服务牟利的行为，将取消您享受此服务的权益，并将影响您京东账户的信誉等级。2020-08-31
购物指南,生活旅行,如何在我的营业厅办理流量包？,登录网页版京东，进入【我的京东-特色服务-我的营业厅】的页面，通过【流量充值】，输入所要充值号码，选择流量面额及流量包信息，即可快速充值。也可跳转至【充值中心】进行流量及话费充值，最终定制情况以手机运营商短信通知为准。2017-01-09
发票问题,发票类型介绍,在京东买了东西开了电子发票是否可以用于报销？,您好，目前电子发票可以为个人、单位开具，其法律效力、基本用途及使用规定同纸质发票。可进入“我的订单”—订单详情页中，页面右下角下载电子发票即可。。2017-03-11
